DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ROUND(ATP,3)	MAXMPL
mysql	pk-xt-1M-1000-120-4	1473	9453	1	4	1	.1	0	197.972	1100
mysql	pk-xt-1M-1000-120-4	1473	9455	1	4	.25	1	0	2283.763	1100
mysql	pk-xt-1M-1000-120-4	1473	9456	1	4	.5	1	0	2619.257	1100
mysql	pk-xt-1M-1000-120-4	1473	9457	1	4	.75	1	0	3814.856	200
mysql	pk-xt-1M-1000-120-4	1473	9458	1	4	1	1	0	4153.422	200
mysql	pk-xt-1M-1000-120-8	1470	9295	1	8	.25	0	25	6884.38	1100
mysql	pk-xt-1M-1000-120-8	1470	9304	1	8	.5	0	25	25520.888	100
mysql	pk-xt-1M-1000-120-8	1470	9307	1	8	.75	0	25	30167.651	100
mysql	pk-xt-1M-1000-120-8	1470	9309	1	8	1	0	25	20254.401	100
mysql	pk-xt-1M-1000-120-8	1470	9311	1	8	.25	0	50	7575.302	1100
mysql	pk-xt-1M-1000-120-8	1470	9314	1	8	.5	0	50	7233.536	1100
mysql	pk-xt-1M-1000-120-8	1470	9316	1	8	.75	0	50	52909.049	100
mysql	pk-xt-1M-1000-120-8	1470	9318	1	8	1	0	50	42153.114	100
mysql	pk-xt-1M-1000-120-8	1470	9320	1	8	.25	0	75	9453.725	800
mysql	pk-xt-1M-1000-120-8	1470	9322	1	8	.5	0	75	4812.565	1100
